REG_ENT_ID,RN,REG_ENT_NAME,CNTY_NAME,LATITUDE,LONGITUDE,CITY_NAME,PHYS_LOC_DESC_TXT,DELIV_TXT,CITY_NAME_1,USPS_STATE_CD,ZIP_CD,NEAR_CITY_NAME,LOC_ZIP_TXT
280385112001134,RN100212356,AIR FORCE PLANT 4 LOCKHEED MARTIN,TARRANT,33,-97,FORT WORTH, ,1 LOCKHEED BLVD,FORT WORTH,TX,76108,FORT WORTH,76108
56385372001134,RN100212513,MENASCO AEROSPACE-TEXAS,TARRANT,32,-97,,4000 S HWY 157,,,,,EULESS,76040
627387022001134,RN100213461,AMERICAN AIRLINES DFW MAINTENANCE FACILITY,TARRANT,33,-97,,2122 W 16TH AVE DALLAS TX 75261,,,,,DALLAS,75261
433388502001134,RN100214246,MILL CREEK LANDFILL,TARRANT,33,-98,FORT WORTH, ,7797 CONFEDERATE PARK RD,FORT WORTH,TX,76108,FORT WORTH,76108
431389872001134,RN100214907,DALLAS FORT WORTH INTERNATIONAL AIRPORT,TARRANT,33,-97,DALLAS,BRANIFF INTERNATIONAL AIRLINES  TERMINAL 2 MILES W NEAR GATE NUMBER 18,3200 E AIRFIELD DR,DALLAS,TX,75261,DALLAS,75261
367389952001134,RN100214949,NUSTAR LOGISTICS GRAPEVINE TERMINAL,TARRANT,33,-97,SOUTHLAKE,"2400 MUSTANG CT, SOUTHLAKE TX 76092",2401 HIGHWAY 26 W,SOUTHLAKE,TX,76092,SOUTHLAKE,76051
848390702001134,RN100215292,PEDEN FACILITY,TARRANT,33,-97,FORT WORTH,2760 PEDEN RD FORT WORTH TX,2760 PEDEN RD,FORT WORTH,TX,76179,FORT WORTH,76179
500392532001134,RN100216225,TEXAS AERO ENGINE SERVICES,TARRANT,33,-97,FORT WORTH, ,2180 EAGLE PKWY,FORT WORTH,TX,76177,FORT WORTH,76177
331392742001134,RN100216332,VALEO CLIMATE CONTROL,TARRANT,33,-97,GRAND PRAIRIE,SE INTERSECTION OF WEST NORTH CARRIER PKWY AND 110TH ST,1102 W N CARRIER PKWY STE 100,GRAND PRAIRIE,TX,75050,GRAND PRAIRIE,75050
220392872001134,RN100216399,KERRY INGREDIENTS AND FLAVOURS FORT WORTH,TARRANT,33,-97,FORT WORTH,7401 Will Rogers Blvd.,7401 WILL ROGERS BLVD,FORT WORTH,TX,76140,FORT WORTH,76140
2393122001134,RN100216548,MOTIVA FORT WORTH TERMINAL,TARRANT,33,-97,FORT WORTH,"3200 N Sylvania, Fort Worth, TX",3200 N SYLVANIA AVE,FORT WORTH,TX,76111,FORT WORTH,76111
958393152001134,RN100216571,GEMINI COATINGS,TARRANT,33,-97,GRAND PRAIRIE,"2350 114th St, Grand Prairie, TX",2350 114TH ST,GRAND PRAIRIE,TX,75050,GRAND PRAIRIE,75050
668393532001134,RN100216787,THE UNIVERSITY OF TEXAS AT ARLINGTON,TARRANT,33,-97,,500 SUMMIT AVE,,,,,ARLINGTON,76019
961394512001134,RN100217264,ROYAL BATHS MANUFACTURING BURNS STREET FACILITY,TARRANT,33,-97,RICHLAND HILLS,7112 BURNS STREET,7112 BURNS ST,RICHLAND HILLS,TX,76118,RICHLAND HILLS,76118
996395812001134,RN100217934,MAHLE BEHR SERVICE AMERICA,TARRANT,33,-97,FORT WORTH,"5020 Augusta Dr, Fort Worth, TX",5020 AUGUSTA DR,FORT WORTH,TX,76106,FORT WORTH,76106
884396032001134,RN100218007,ALCON LABORATORIES,TARRANT,33,-97,FORT WORTH,"6201 South Fwy, Fort Worth, TX",6201 SOUTH FWY,FORT WORTH,TX,76134,FORT WORTH,76134
240396982001134,RN100218437,EASTSIDE LANDFILL,TARRANT,33,-97,FORT WORTH, ,5300 E 1ST ST,FORT WORTH,TX,76103,FORT WORTH,76103
265398522001134,RN100219062,CERAMIC COOLING TOWER - FIBERGLASS PLANT,TARRANT,33,-97,FORT WORTH,"10705 North Fwy, Fort Worth, TX",10705 NORTH FWY,FORT WORTH,TX,76177,FORT WORTH,76131
178398682001134,RN100219112,KELLY-MOORE PAINT,TARRANT,33,-97,HURST,"301 W Hurst Blvd, Hurst, TX",301 W HURST BLVD,HURST,TX,76053,HURST,76053
826399202001134,RN100219344,FORT DEARBORN FORT WORTH,TARRANT,33,-97,FORT WORTH,4601 PYLON ST FT WORTH TX,4601 PYLON ST,FORT WORTH,TX,76106,FORT WORTH,76106
161509812001135,RN100220417,FORT WORTH PLANT,TARRANT,33,-97,FORT WORTH,"7301 S IH 35 W, Fort Worth, TX",7301 SOUTH FWY # IH35W,FORT WORTH,TX,76134,FORT WORTH,76134
926512192001135,RN100221779,US OIL FORT WORTH TERMINAL,TARRANT,33,-97,FORT WORTH,IN FORT WORTH INDUSTRIAL AREA,301 TERMINAL RD,FORT WORTH,TX,76106,FORT WORTH,76106
873512362001135,RN100221829,SEALED AIR,TARRANT,33,-97,GRAND PRAIRIE,"2401 Dillard St, Grand Prairie, TX",2401 DILLARD ST,GRAND PRAIRIE,TX,75051,GRAND PRAIRIE,75051
855512442001135,RN100221837,FORT WORTH REGIONAL LANDFILL,TARRANT,33,-97,FORT WORTH,2100 A MINNIS DRIVE,2100 MINNIS DR # A,FORT WORTH,TX,76117,FORT WORTH,76117
676513002001135,RN100222124,TRINITY INDUSTRIES PLANT 127,TARRANT,33,-97,FORT WORTH, ,2300 W RISINGER RD,FORT WORTH,TX,76134,FORT WORTH,76111
662513082001135,RN100222132,UNION PACIFIC RAILROAD CENTENNIAL YARD,TARRANT,33,-97,FORT WORTH,"4700 W Vickery, Fort Worth, TX",4700 W VICKERY BLVD,FORT WORTH,TX,76107,FORT WORTH,76107
498513362001135,RN100222314,PLANT 5,TARRANT,33,-97,GRAND PRAIRIE,1700 NORTH HIGHWAY 360,1700 N STATE HIGHWAY 360,GRAND PRAIRIE,TX,75050,GRAND PRAIRIE,75050
333513602001135,RN100222488,BELL PLANT 1,TARRANT,33,-97,FORT WORTH, ,3255 BELL FLIGHT BLVD,FORT WORTH,TX,76118,FORT WORTH,76118
876517242001135,RN100225226,TRINITY INDUSTRIES PLANT 26,TARRANT,33,-97,FORT WORTH,2548 NE 28th street,2548 NE 28TH ST,FORT WORTH,TX,76111,FORT WORTH,76111
660517572001135,RN100225440,METAL BEVERAGE CONTAINER OPERATIONS,TARRANT,33,-97,,"6600 Will Rogers Blvd, Fort Worth, TX",,,,,FORT WORTH,76140
391517952001135,RN100225739,EXPLORER PIPELINE ARLINGTON PUMPING STATION BREAKOUT,TARRANT,33,-97,EULESS, ,3301 S HIGHWAY 157,EULESS,TX,76040,EULESS,76040
348518022001135,RN100225804,TRINITY NORTH AMERICAN FREIGHT CAR PLANT 1192,TARRANT,33,-97,SAGINAW,2850 Peden Rd,104 E BAILEY BOSWELL RD,SAGINAW,TX,76179,SAGINAW,76179
231518152001135,RN100225903,FORT WORTH DAIRYPAK PLANT,TARRANT,32,-97,FORT WORTH, ,1901 WINDSOR PL,FORT WORTH,TX,76110,FORT WORTH,75106
856452582001194,RN100236041,SUNOCO EULESS TX TERMINAL,TARRANT,33,-97,EULESS, ,12625 CALLOWAY CEMETERY RD,EULESS,TX,76040,EULESS,76040
88280092001220,RN100240209,GREENVIEW TECH CENTER,TARRANT,33,-97,GRAND PRAIRIE,801-833 GREENVIEW DR,801 GREENVIEW DR,GRAND PRAIRIE,TX,75050,GRAND PRAIRIE,75050
932280472001220,RN100240290,FREEMAN PONTIAC,TARRANT,33,-97,HURST,701 NORTHEAST LOOP 820,701 NE LOOP 820,HURST,TX,76053,HURST,70653
780280922001220,RN100240381,FORMER PIONEER CONCRETE,TARRANT,33,-97,GRAPEVINE,617 EAST DALLAS ROAD,617 E DALLAS RD,GRAPEVINE,TX,76051,GRAPEVINE,76051
727281032001220,RN100240415,FORMER NINFAS RESTAURANT,TARRANT,29,-99,FORT WORTH,1660 S UNIVERSITY DR,1660 S UNIVERSITY DR,FORT WORTH,TX,76107,FORT WORTH,76107
887283252001220,RN100240910,ROYAL TERRACE APTS,TARRANT,33,-97,EULESS,306 MARTHA ST,306 MARTHA ST,EULESS,TX,76040,EULESS,76040
785283422001220,RN100240977,DAVIS INDUSTRIAL PARK W,TARRANT,33,-97,NORTH RICHLAND HILLS,5205 DAVIS BOULEVARD,5205 DAVIS BLVD,NORTH RICHLAND HILLS,TX,76180,NORTH RICHLAND HILLS,76108
508284192001220,RN100241157,WJ INVESTORS PROPERTY,TARRANT,30,-95,NORTH RICHLAND HILLS,5237-5249 DAVIS BLVD,5237 DAVIS BLVD,NORTH RICHLAND HILLS,TX,76180,N RICHLAND HILLS,76180
457284312001220,RN100241181,PIONEER PLAZA SHOPPING CENTER,TARRANT,32,-97,ARLINGTON,2210 S FIELDER RD,2210 S FIELDER RD,ARLINGTON,TX,76013,ARLINGTON,76015
940328222001221,RN100242049,MID CITIES READY MIX,TARRANT,33,-97,FORT WORTH, ,1989 KELLER HICKS RD,FORT WORTH,TX,76177,SAGINAW,76177
559329602001221,RN100242197,AZLE TANK SITE NO 091442,TARRANT,33,-97,AZLE, ,100 NORTHWEST PKWY,AZLE,TX,76020,AZLE,76020
841332162001221,RN100242411,TARRANT CONCRETE,TARRANT,33,-97,FORT WORTH, ,5301 HEMPHILL ST,FORT WORTH,TX,76115,FORT WORTH,76115
598585862001232,RN100248848,REDI-MIX AZLE,TARRANT,33,-97,AZLE, ,1110 SOUTHEAST PKWY,AZLE,TX,76020,AZLE,76020
607585882001232,RN100248855,HANSON CONCRETE SOUTH CENTRAL,TARRANT,33,-97,FORT WORTH, ,880 N HOUSTON ST,FORT WORTH,TX,76164,FORT WORTH,76106
627586052001232,RN100248897,FORT WORTH REDI-MIX CONCRETE,TARRANT,33,-97,FORT WORTH, ,2725 PREMIER ST,FORT WORTH,TX,76111,FORT WORTH,76111
713586532001232,RN100249028,SOUTHLAKE MCR,TARRANT,33,-97,SOUTHLAKE, ,1968 BRUMLOW AVE,SOUTHLAKE,TX,76092,SOUTHLAKE,76092
722586552001232,RN100249036,HURST PLANT,TARRANT,33,-97,HURST, ,3152 S PRECINCT LINE RD,HURST,TX,76053,HURST,76118
740586652001232,RN100249051,SOUTHSIDE PLANT,TARRANT,33,-97,FORT WORTH, ,6100 OLD HEMPHILL RD,FORT WORTH,TX,76134,FORT WORTH,76134
761586822001232,RN100249093,SAGINAW PLANT,TARRANT,33,-97,SAGINAW, ,1101 JARVIS RD,SAGINAW,TX,76179,SAGINAW,76179
780586922001232,RN100249127,HANSON CONCRETE SOUTH CENTRAL,TARRANT,33,-97,SOUTHLAKE, ,1635 BRUMLOW AVE,SOUTHLAKE,TX,76092,SOUTHLAKE,76092
800587032001232,RN100249150,ARLINGTON NEW YORK PLANT,TARRANT,33,-97,ARLINGTON, ,6400 NEW YORK AVE,ARLINGTON,TX,76018,ARLINGTON,76018
807587072001232,RN100249168,REDI MIX,TARRANT,33,-97,HALTOM CITY, ,5517 DENTON HWY,HALTOM CITY,TX,76148,HALTOM CITY,76148
920593312001232,RN100250711,HANSON CONCRETE SOUTH CENTRAL,TARRANT,33,-97,FORT WORTH, ,1300 SYLVANIA CT,FORT WORTH,TX,76111,FORT WORTH,76111
946593422001232,RN100250745,SOUTH ARLINGTON PLANT,TARRANT,33,-97,ARLINGTON, ,7104 S COOPER ST,ARLINGTON,TX,76001,ARLINGTON,76015
993325562001239,RN100256759,JEMTEX ACQUISITION FORESTSHIRE JOINT VENTURE,TARRANT,30,-95,BEDFORD,1233 N INDUSTRIAL BLVD,1233 N INDUSTRIAL BLVD,BEDFORD,TX,76021,BEDFORD,76021
254438732001263,RN100520006,PIONEER VILLAGE SHOPPING CTR,TARRANT,30,-96,ARLINGTON,NW CORNER E PIONEER PKWAY S COLLINS,2126 S COLLINS ST,ARLINGTON,TX,76010,ARLINGTON,76010
485439062001263,RN100520162,HURST PROPERTY,TARRANT,33,-97,HURST,NW CORNER HARWOOD RD & PRECINCT LINE,1701 PRECINCT LINE RD,HURST,TX,76054,HURST,76054
724439402001263,RN100520386,ESTATE OF ADRIENNE GANS SIMON,TARRANT,33,-97,NORTH RICHLAND HILLS,5101 DAVIS BLVD,5101 DAVIS BLVD,NORTH RICHLAND HILLS,TX,76180,N RICHLAND HILLS,76180
864439602001263,RN100520485,EXPO 6524,TARRANT,30,-96,NORTH RICHLAND HILLS,4936 DAVIS BLVD,4936 DAVIS BLVD,NORTH RICHLAND HILLS,TX,76180,NORTH RICHLAND HILLS,76180
223322282001269,RN100521012,SAGINAW AREA CHAMBER OF COMMERCE,TARRANT,32,-97,SAGINAW, ,301 S SAGINAW BLVD,SAGINAW,TX,76179,SAGINAW,76179
564397992001274,RN100521269,COLLINS CORNER SHOPPING CENTER,TARRANT,32,-97,ARLINGTON, ,2440 S COLLINS ST,ARLINGTON,TX,76014,ARLINGTON,76034
313398442001274,RN100521467,MAYFIELD RD SITE 2,TARRANT,32,-97,,SW CORNER MAYFIELD RD & HWY 360 SERVICE RD,,,,,ARLINGTON,76014
949399162001274,RN100521756,MIDWAY INDUSTRIAL TRUST,TARRANT,33,-97,,CORNER OF TRINITY BLVD & SH 157,,,,,EULESS,76039
932399182001274,RN100521764,IRON MOUNTAIN RECORDS MGMT,TARRANT,33,-97,GRAND PRAIRIE, ,1202 AVENUE S,GRAND PRAIRIE,TX,75050,GRAND PRAIRIE,75050
882399292001274,RN100521806,RODRIGUEZ FESTIVE FOODS,TARRANT,0,0,FORT WORTH, ,899 N HOUSTON ST,FORT WORTH,TX,76164,FORT WORTH,76106
869399312001274,RN100521814,MAGNOLIA HISTORIC BLDG POLICE STATION,TARRANT,33,-97,FORT WORTH, ,1000 W MAGNOLIA AVE,FORT WORTH,TX,76104,FORT WORTH,76104
815399462001274,RN100521855,FORT WORTH TOWER,TARRANT,32,-97,FORT WORTH,AKA FWTC UNDEVELOPED PROPERTY,1901 E LOOP 820 S,FORT WORTH,TX,76112,FORT WORTH,76112
573429592001274,RN100522077,TRINITY INDUSTRIES,TARRANT,33,-97,GRAPEVINE,SW CORNER E DALLAS RD & MINTERS CHAPEL,898 E DALLAS RD,GRAPEVINE,TX,76051,GRAPEVINE,76051
560429602001274,RN100522085,MAYFIELD RD SITE,TARRANT,33,-97,,SW CORNER MAYFIELD RD & HWY 360,,,,,ARLINGTON,76014
